"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"AP2010-08-18-22002"|"apnic"|"ID"|"ipv6"|"2001:df0:bc::"|48|2010-08-17|"assigned"|2010-08-18|2020-12-30|TRUE|"2001:df0:bc::-2001:df0:bc::2f"
"AP2010-08-18-22587"|"apnic"|"HK"|"ipv6"|"2403:fa00::"|32|2010-08-17|"allocated"|2010-08-18|2020-12-30|TRUE|"2403:fa00::/123"
"AP2010-08-19-22600"|"apnic"|"IN"|"ipv6"|"2403:fe00::"|32|2010-08-17|"allocated"|2010-08-19|2020-12-30|TRUE|"2403:fe00::/123"
"AP2010-08-20-22637"|"apnic"|"JP"|"ipv6"|"2404:200::"|32|2010-08-19|"allocated"|2010-08-20|2020-12-30|TRUE|"2404:200::/123"
"AP2010-08-21-22121"|"apnic"|"IN"|"ipv6"|"2001:4529::"|32|2010-08-20|"allocated"|2010-08-21|2020-12-30|TRUE|"2001:4529::/123"
"AP2010-08-21-22122"|"apnic"|"IN"|"ipv6"|"2001:452a::"|31|2010-08-20|"allocated"|2010-08-21|2020-12-30|TRUE|"2001:452a::-2001:452a::1e"
"AP2010-08-21-22643"|"apnic"|"ID"|"ipv6"|"2404:600::"|32|2010-08-20|"allocated"|2010-08-21|2020-12-30|TRUE|"2404:600::/123"
"AP2010-08-21-22645"|"apnic"|"JP"|"ipv6"|"2404:a00::"|32|2010-08-20|"allocated"|2010-08-21|2020-12-30|TRUE|"2404:a00::/123"
"AP2010-08-25-22044"|"apnic"|"AU"|"ipv6"|"2001:df0:be::"|48|2010-08-24|"assigned"|2010-08-25|2020-12-30|TRUE|"2001:df0:be::-2001:df0:be::2f"
"AP2010-08-26-22670"|"apnic"|"SG"|"ipv6"|"2404:1200::"|32|2010-08-25|"allocated"|2010-08-26|2020-12-30|TRUE|"2404:1200::/123"
"AP2010-08-26-22672"|"apnic"|"AU"|"ipv6"|"2404:1600::"|32|2010-08-25|"allocated"|2010-08-26|2020-12-30|TRUE|"2404:1600::/123"
"AP2010-08-26-22674"|"apnic"|"TH"|"ipv6"|"2404:1a00::"|32|2010-08-25|"allocated"|2010-08-26|2020-12-30|TRUE|"2404:1a00::/123"
"AP2010-08-27-22051"|"apnic"|"LA"|"ipv6"|"2001:df0:bf::"|48|2010-08-26|"assigned"|2010-08-27|2020-12-30|TRUE|"2001:df0:bf::-2001:df0:bf::2f"
"AP2010-08-27-22681"|"apnic"|"NZ"|"ipv6"|"2404:1e00::"|32|2010-08-25|"allocated"|2010-08-27|2020-12-30|TRUE|"2404:1e00::/123"
"AP2010-08-27-22683"|"apnic"|"NC"|"ipv6"|"2404:2200::"|32|2010-08-26|"allocated"|2010-08-27|2020-12-30|TRUE|"2404:2200::/123"
"AP2010-08-27-22685"|"apnic"|"TH"|"ipv6"|"2404:2600::"|32|2010-08-26|"allocated"|2010-08-27|2020-12-30|TRUE|"2404:2600::/123"
"AP2010-08-27-22687"|"apnic"|"NC"|"ipv6"|"2404:2a00::"|32|2010-08-26|"allocated"|2010-08-27|2020-12-30|TRUE|"2404:2a00::/123"
"AP2010-08-28-22689"|"apnic"|"LA"|"ipv6"|"2404:2e00::"|32|2010-08-27|"allocated"|2010-08-28|2020-12-30|TRUE|"2404:2e00::/123"
"AP2010-08-31-22696"|"apnic"|"JP"|"ipv6"|"2404:3200::"|32|2010-08-30|"allocated"|2010-08-31|2020-12-30|TRUE|"2404:3200::/123"
"AP2010-09-01-22067"|"apnic"|"IN"|"ipv6"|"2001:df0:c0::"|48|2010-08-31|"assigned"|2010-09-01|2020-12-30|TRUE|"2001:df0:c0::-2001:df0:c0::2f"
"AP2010-09-01-22068"|"apnic"|"AU"|"ipv6"|"2001:df0:c1::"|48|2010-08-31|"assigned"|2010-09-01|2020-12-30|TRUE|"2001:df0:c1::-2001:df0:c1::2f"
"AP2010-09-01-22709"|"apnic"|"NZ"|"ipv6"|"2404:3600::"|32|2010-08-31|"allocated"|2010-09-01|2020-12-30|TRUE|"2404:3600::/123"
"AP2010-09-02-22721"|"apnic"|"VN"|"ipv6"|"2404:3a00::"|32|2010-09-01|"allocated"|2010-09-02|2020-12-30|TRUE|"2404:3a00::/123"
"AP2010-09-02-22723"|"apnic"|"ID"|"ipv6"|"2404:3e00::"|32|2010-09-01|"allocated"|2010-09-02|2020-12-30|TRUE|"2404:3e00::/123"
"AP2010-09-02-22724"|"apnic"|"ID"|"ipv6"|"2404:4200::"|32|2010-09-01|"allocated"|2010-09-02|2020-12-30|TRUE|"2404:4200::/123"
"AP2010-09-03-22729"|"apnic"|"KR"|"ipv6"|"2404:4600::"|32|2010-09-02|"allocated"|2010-09-03|2020-12-30|TRUE|"2404:4600::/123"
"AP2010-09-03-22731"|"apnic"|"TH"|"ipv6"|"2404:4a00::"|32|2010-09-02|"allocated"|2010-09-03|2020-12-30|TRUE|"2404:4a00::/123"
"AP2010-09-04-22084"|"apnic"|"ID"|"ipv6"|"2001:df0:bd::"|48|2010-09-03|"assigned"|2010-09-04|2020-12-30|TRUE|"2001:df0:bd::-2001:df0:bd::2f"
"AP2010-09-07-22751"|"apnic"|"JP"|"ipv6"|"2404:5200::"|32|2010-09-06|"allocated"|2010-09-07|2020-12-30|TRUE|"2404:5200::/123"
"AP2010-09-08-22759"|"apnic"|"ID"|"ipv6"|"2404:5600::"|32|2010-09-07|"allocated"|2010-09-08|2020-12-30|TRUE|"2404:5600::/123"
"AP2010-09-09-22762"|"apnic"|"ID"|"ipv6"|"2404:5a00::"|32|2010-09-08|"allocated"|2010-09-09|2020-12-30|TRUE|"2404:5a00::/123"
"AP2010-09-10-22773"|"apnic"|"AU"|"ipv6"|"2404:5e00::"|32|2010-09-09|"allocated"|2010-09-10|2020-12-30|TRUE|"2404:5e00::/123"
"AP2010-09-11-22788"|"apnic"|"TW"|"ipv6"|"2404:6200::"|32|2010-09-10|"allocated"|2010-09-11|2020-12-30|TRUE|"2404:6200::/123"
"AP2010-09-15-22824"|"apnic"|"NZ"|"ipv6"|"2404:6600::"|32|2010-09-14|"allocated"|2010-09-15|2020-12-30|TRUE|"2404:6600::/123"
"AP2010-09-16-22174"|"apnic"|"AU"|"ipv6"|"2001:df0:c2::"|48|2010-09-14|"assigned"|2010-09-16|2020-12-30|TRUE|"2001:df0:c2::-2001:df0:c2::2f"
"AP2010-09-17-22845"|"apnic"|"NZ"|"ipv6"|"2404:6a00::"|32|2010-09-16|"allocated"|2010-09-17|2020-12-30|TRUE|"2404:6a00::/123"
"AP2010-09-17-22847"|"apnic"|"PH"|"ipv6"|"2404:6e00::"|32|2010-09-16|"allocated"|2010-09-17|2020-12-30|TRUE|"2404:6e00::/123"
"AP2010-09-18-22862"|"apnic"|"JP"|"ipv6"|"2404:7200::"|32|2010-09-17|"allocated"|2010-09-18|2020-12-30|TRUE|"2404:7200::/123"
"AP2010-09-22-22888"|"apnic"|"CN"|"ipv6"|"2404:7600::"|32|2010-09-21|"allocated"|2010-09-22|2020-12-30|TRUE|"2404:7600::/123"
"AP2010-09-22-22890"|"apnic"|"JP"|"ipv6"|"2404:7a00::"|32|2010-09-21|"allocated"|2010-09-22|2020-12-30|TRUE|"2404:7a00::/123"
"AP2010-09-22-22892"|"apnic"|"BD"|"ipv6"|"2404:7e00::"|32|2010-09-21|"allocated"|2010-09-22|2020-12-30|TRUE|"2404:7e00::/123"
"AP2010-09-24-22896"|"apnic"|"JP"|"ipv6"|"2404:8200::"|32|2010-09-23|"allocated"|2010-09-24|2020-12-30|TRUE|"2404:8200::/123"
"AP2010-09-24-22897"|"apnic"|"AU"|"ipv6"|"2404:8600::"|32|2010-09-23|"allocated"|2010-09-24|2020-12-30|TRUE|"2404:8600::/123"
"AP2010-09-25-22904"|"apnic"|"LK"|"ipv6"|"2404:8a00::"|32|2010-09-23|"allocated"|2010-09-25|2020-12-30|TRUE|"2404:8a00::/123"
"AP2010-09-25-22906"|"apnic"|"JP"|"ipv6"|"2404:8e00::"|31|2010-09-24|"allocated"|2010-09-25|2020-12-30|TRUE|"2404:8e00::-2404:8e00::1e"
"AP2010-09-25-22908"|"apnic"|"JP"|"ipv6"|"2404:9200::"|32|2010-09-24|"allocated"|2010-09-25|2020-12-30|TRUE|"2404:9200::/123"
"AP2010-09-25-22910"|"apnic"|"AU"|"ipv6"|"2404:9600::"|32|2010-09-24|"allocated"|2010-09-25|2020-12-30|TRUE|"2404:9600::/123"
"AP2010-09-25-22912"|"apnic"|"GU"|"ipv6"|"2404:9a00::"|32|2010-09-24|"allocated"|2010-09-25|2020-12-30|TRUE|"2404:9a00::/123"
"AP2010-09-29-22082"|"apnic"|"AU"|"ipv6"|"2001:dd8:12::"|48|2010-09-28|"assigned"|2010-09-29|2020-12-30|TRUE|"2001:dd8:12::-2001:dd8:12::2f"
"AP2010-09-30-22246"|"apnic"|"AU"|"ipv6"|"2001:df0:c4::"|48|2010-09-29|"assigned"|2010-09-30|2020-12-30|TRUE|"2001:df0:c4::-2001:df0:c4::2f"
"AP2010-09-30-22247"|"apnic"|"ID"|"ipv6"|"2001:df0:c5::"|48|2010-09-29|"assigned"|2010-09-30|2020-12-30|TRUE|"2001:df0:c5::-2001:df0:c5::2f"
"AP2010-09-30-22938"|"apnic"|"ID"|"ipv6"|"2404:9e00::"|32|2010-09-29|"allocated"|2010-09-30|2020-12-30|TRUE|"2404:9e00::/123"
